"","flybasecg","flybase","pass.min.cells","is.mito","chr","start","end","strand","transcript.length"
"lncRNA:CR45809","CR45809","FBgn0267459",FALSE,FALSE,"3L",961769,962471,"+",703
"lncRNA:CR45810","CR45810","FBgn0267460",TRUE,FALSE,"3L",962756,963099,"+",344
"CG12038","CG12038","FBgn0035179",TRUE,FALSE,"3L",993983,995703,"+",1721
"trio","CG18214","FBgn0024277",TRUE,FALSE,"3L",995982,1034875,"-",38894
"lncRNA:CR45811","CR45811","FBgn0267461",FALSE,FALSE,"3L",1001027,1002195,"+",1169
"CG9205","CG9205","FBgn0035181",TRUE,FALSE,"3L",1034697,1036298,"+",1602
"bab1","CG9097","FBgn0004870",TRUE,FALSE,"3L",1036369,1101089,"-",64721
"bab2","CG9102","FBgn0025525",TRUE,FALSE,"3L",1140429,1177276,"-",36848
"CG13912","CG13912","FBgn0035186",TRUE,FALSE,"3L",1189588,1190472,"+",885
"Trh","CG9122","FBgn0035187",FALSE,FALSE,"3L",1190384,1193173,"-",2790
"LysX","CG9120","FBgn0004431",FALSE,FALSE,"3L",1194739,1195302,"-",564
"Aplip1","CG1200","FBgn0040281",TRUE,FALSE,"3L",1196317,1199339,"+",3023
"mwh","CG43772","FBgn0264272",TRUE,FALSE,"3L",1200786,1232700,"+",31915
"meep","CG32335","FBgn0063667",FALSE,FALSE,"3L",1201871,1203036,"-",1166
"CG9119","CG9119","FBgn0035189",TRUE,FALSE,"3L",1203316,1204795,"-",1480
"LysB","CG1179","FBgn0004425",FALSE,FALSE,"3L",1207371,1207981,"+",611
"LysD","CG9118","FBgn0004427",TRUE,FALSE,"3L",1210717,1211196,"-",480
"LysE","CG1180","FBgn0004428",FALSE,FALSE,"3L",1212827,1213406,"+",580
"LysP","CG9116","FBgn0004429",FALSE,FALSE,"3L",1218082,1218696,"-",615
"LysS","CG1165","FBgn0004430",FALSE,FALSE,"3L",1227747,1228238,"+",492
"CG33965","CG33965","FBgn0053965",FALSE,FALSE,"3L",1232882,1234015,"+",1134
"CG33966","CG33966","FBgn0053966",FALSE,FALSE,"3L",1234130,1235420,"+",1291
"lncRNA:CR45747","CR45747","FBgn0267311",FALSE,FALSE,"3L",1235472,1235702,"+",231
"galene","CG9194","FBgn0035192",FALSE,FALSE,"3L",1235726,1242025,"+",6300
"CG9192","CG9192","FBgn0035193",FALSE,FALSE,"3L",1237133,1238319,"-",1187
"Klp61F","CG9191","FBgn0004378",TRUE,FALSE,"3L",1241568,1245910,"-",4343
"CG32318","CG32318","FBgn0052318",TRUE,FALSE,"3L",1246073,1246923,"-",851
"Psf1","CG9187","FBgn0035194",TRUE,FALSE,"3L",1246986,1247677,"-",692
"Sac1","CG9128","FBgn0283500",TRUE,FALSE,"3L",1247817,1250451,"+",2635
"Bfc","CG9129","FBgn0035196",TRUE,FALSE,"3L",1250696,1251778,"+",1083
"CG9130","CG9130","FBgn0035197",FALSE,FALSE,"3L",1252012,1255986,"+",3975
"CG9133","CG9133","FBgn0035198",TRUE,FALSE,"3L",1252012,1255986,"+",3975
"tfc","CG9134","FBgn0035199",FALSE,FALSE,"3L",1256449,1274498,"+",18050
"CG32333","CG32333","FBgn0052333",FALSE,FALSE,"3L",1275956,1295699,"+",19744
"Rabex-5","CG9139","FBgn0262937",TRUE,FALSE,"3L",1295913,1298497,"+",2585
"scf","CG9148","FBgn0025682",TRUE,FALSE,"3L",1298672,1300389,"+",1718
"Rac1","CG2248","FBgn0010333",TRUE,FALSE,"3L",1300879,1302683,"-",1805
"Acat2","CG9149","FBgn0035203",TRUE,FALSE,"3L",1302944,1304717,"+",1774
"Nt5a","CG2277","FBgn0035204",TRUE,FALSE,"3L",1304850,1307418,"-",2569
"Ctr9","CG2469","FBgn0035205",TRUE,FALSE,"3L",1307224,1311805,"+",4582
"sturkopf","CG9186","FBgn0035206",TRUE,FALSE,"3L",1311719,1313377,"-",1659
"Herc4","CG9153","FBgn0035207",TRUE,FALSE,"3L",1313696,1318330,"+",4635
"Myo61F","CG9155","FBgn0010246",TRUE,FALSE,"3L",1318480,1329617,"+",11138
"CG9184","CG9184","FBgn0035208",FALSE,FALSE,"3L",1321792,1322806,"-",1015
"lncRNA:CR45166","CR45166","FBgn0266676",TRUE,FALSE,"3L",1322877,1324221,"-",1345
"ND-ACP","CG9160","FBgn0011361",TRUE,FALSE,"3L",1329949,1331631,"+",1683
"msd1","CG13914","FBgn0035209",TRUE,FALSE,"3L",1331744,1332326,"+",583
"msd5","CG2213","FBgn0035210",TRUE,FALSE,"3L",1332307,1333146,"-",840
"CG2211","CG2211","FBgn0035211",TRUE,FALSE,"3L",1333239,1335359,"-",2121
"Pbgd","CG9165","FBgn0010786",TRUE,FALSE,"3L",1334889,1339415,"+",4527
"CG2199","CG2199","FBgn0035213",TRUE,FALSE,"3L",1339460,1342403,"-",2944
"Ptp61F","CG9181","FBgn0267487",TRUE,FALSE,"3L",1342493,1475257,"-",132765
"CG9166","CG9166","FBgn0029514",TRUE,FALSE,"3L",1351116,1352853,"+",1738
"ru","CG1214","FBgn0003295",TRUE,FALSE,"3L",1370628,1387437,"+",16810
"tRNA:Glu-CTC-3-1","CR32330","FBgn0052330",FALSE,FALSE,"3L",1379934,1380005,"+",72
"tRNA:Glu-CTC-3-2","CR32328","FBgn0052328",FALSE,FALSE,"3L",1380238,1380309,"+",72
"tRNA:Glu-CTC-3-3","CR32329","FBgn0052329",FALSE,FALSE,"3L",1380529,1380600,"+",72
"tRNA:Glu-CTC-3-4","CR32327","FBgn0011851",FALSE,FALSE,"3L",1397695,1397766,"+",72
"tRNA:Glu-CTC-3-5","CR32326","FBgn0011852",FALSE,FALSE,"3L",1397932,1398003,"+",72
"tRNA:Glu-CTC-3-6","CR32325","FBgn0011853",FALSE,FALSE,"3L",1398169,1398240,"+",72
"tRNA:Glu-CTC-3-7","CR32324","FBgn0052324",FALSE,FALSE,"3L",1398406,1398477,"+",72
"CG32320","CG32320","FBgn0052320",TRUE,FALSE,"3L",1398586,1401612,"+",3027
"tRNA:Glu-CTC-3-8","CR32323","FBgn0011854",FALSE,FALSE,"3L",1401440,1401511,"+",72
"tRNA:Glu-CTC-3-9","CR32322","FBgn0011855",FALSE,FALSE,"3L",1401781,1401852,"+",72
"CG9168","CG9168","FBgn0035216",FALSE,FALSE,"3L",1411057,1413089,"+",2033
"FucTD","CG9169","FBgn0035217",TRUE,FALSE,"3L",1416231,1417933,"+",1703
"CG9173","CG9173","FBgn0035218",TRUE,FALSE,"3L",1421199,1423471,"-",2273
"SA-2","CG13916","FBgn0043865",TRUE,FALSE,"3L",1434336,1437872,"-",3537
"lncRNA:CR44842","CR44842","FBgn0266116",TRUE,FALSE,"3L",1460703,1462801,"-",2099
"rho","CG1004","FBgn0004635",TRUE,FALSE,"3L",1463811,1468944,"+",5134
"Naa30B","CG32319","FBgn0052319",TRUE,FALSE,"3L",1470850,1472060,"-",1211
"stet","CG33166","FBgn0020248",TRUE,FALSE,"3L",1475438,1489547,"-",14110
"robl62A","CG1014","FBgn0028567",TRUE,FALSE,"3L",1477619,1478369,"+",751
"sncRNA:CR43701","CR43701","FBgn0263839",TRUE,FALSE,"3L",1488739,1488831,"+",93
"snoRNA:Psi28S-2622","CR33656","FBgn0086670",TRUE,FALSE,"3L",1488906,1489045,"+",140
"CG12084","CG12084","FBgn0043458",TRUE,FALSE,"3L",1490951,1496643,"-",5693
"asRNA:CR45812","CR45812","FBgn0267462",TRUE,FALSE,"3L",1494499,1495119,"+",621
"hfp","CG12085","FBgn0028577",TRUE,FALSE,"3L",1496853,1502590,"-",5738
"scaRNA:MeU2-48","CR43586","FBgn0263471",FALSE,FALSE,"3L",1498872,1498996,"-",125
"Psa","CG1009","FBgn0261243",TRUE,FALSE,"3L",1502843,1523380,"+",20538
"cue","CG12086","FBgn0011204",TRUE,FALSE,"3L",1503226,1517271,"-",14046
"Iml1","CG12090","FBgn0035227",TRUE,FALSE,"3L",1523414,1534034,"-",10621
"Ir62a","CG33971","FBgn0053971",TRUE,FALSE,"3L",1529439,1531259,"-",1821
"CG12091","CG12091","FBgn0035228",TRUE,FALSE,"3L",1534929,1536835,"-",1907
"pns","CG7852","FBgn0035229",TRUE,FALSE,"3L",1537137,1544823,"+",7687
"CG32313","CG32313","FBgn0052313",TRUE,FALSE,"3L",1544828,1545743,"-",916
"Pcyt1","CG1049","FBgn0041342",TRUE,FALSE,"3L",1546092,1553504,"+",7413
"asRNA:CR45813","CR45813","FBgn0267463",TRUE,FALSE,"3L",1549448,1549900,"-",453
"Pcyt2","CG18330","FBgn0035231",TRUE,FALSE,"3L",1553493,1555315,"+",1823
"CG12099","CG12099","FBgn0035232",TRUE,FALSE,"3L",1555363,1558484,"-",3122
"Pex10","CG7864","FBgn0035233",TRUE,FALSE,"3L",1558228,1559863,"+",1636
"CG7879","CG7879","FBgn0035235",TRUE,FALSE,"3L",1559813,1568608,"-",8796
"CG12003","CG12003","FBgn0035234",FALSE,FALSE,"3L",1565392,1567802,"+",2411
"Tmep","CG12004","FBgn0035236",TRUE,FALSE,"3L",1569181,1576330,"+",7150
"CG13917","CG13917","FBgn0035237",TRUE,FALSE,"3L",1576699,1600845,"+",24147
"CG12104","CG12104","FBgn0035238",TRUE,FALSE,"3L",1600726,1602674,"-",1949
"CG18170","CG18170","FBgn0035239",FALSE,FALSE,"3L",1602954,1617355,"+",14402
"CG33791","CG33791","FBgn0035240",FALSE,FALSE,"3L",1602954,1617355,"+",14402
"CG12105","CG12105","FBgn0035241",FALSE,FALSE,"3L",1610696,1615801,"-",5106
"CG13926","CG13926","FBgn0035243",TRUE,FALSE,"3L",1617348,1618158,"-",811
"asRNA:CR45814","CR45814","FBgn0267464",TRUE,FALSE,"3L",1617485,1618190,"+",706
"ABCB7","CG7955","FBgn0035244",TRUE,FALSE,"3L",1618414,1623413,"+",5000
"CG33230","CG33230","FBgn0053230",TRUE,FALSE,"3L",1618414,1620397,"+",1984
"GC","CG13927","FBgn0035245",FALSE,FALSE,"3L",1623179,1629301,"-",6123
"CG13928","CG13928","FBgn0035246",TRUE,FALSE,"3L",1625791,1628377,"-",2587
"nSyb","CG17248","FBgn0013342",TRUE,FALSE,"3L",1630348,1637752,"-",7405
"Mettl2","CG13929","FBgn0035247",TRUE,FALSE,"3L",1637942,1639235,"-",1294
"Bgb","CG7959","FBgn0013753",TRUE,FALSE,"3L",1639711,1640952,"+",1242
"alphaCOP","CG7961","FBgn0025725",TRUE,FALSE,"3L",1641066,1645199,"-",4134
"CG13919","CG13919","FBgn0035248",TRUE,FALSE,"3L",1645467,1645983,"+",517
"CG17249","CG17249","FBgn0035249",TRUE,FALSE,"3L",1645931,1647464,"-",1534
"Bro","CG7960","FBgn0013755",FALSE,FALSE,"3L",1647869,1648612,"+",744
"asRNA:CR45815","CR45815","FBgn0267465",TRUE,FALSE,"3L",1648628,1649699,"-",1072
"CG13920","CG13920","FBgn0025712",TRUE,FALSE,"3L",1648944,1651501,"+",2558
"Vta1","CG7967","FBgn0035251",TRUE,FALSE,"3L",1651432,1652900,"-",1469
"CG7970","CG7970","FBgn0035252",TRUE,FALSE,"3L",1652750,1654238,"+",1489
"Srrm234","CG7971","FBgn0035253",TRUE,FALSE,"3L",1654247,1665064,"-",10818
"CG7974","CG7974","FBgn0035254",TRUE,FALSE,"3L",1665138,1666594,"+",1457
"RpL23A","CG7977","FBgn0026372",TRUE,FALSE,"3L",1666288,1668654,"-",2367
"Uhg7","CR42453","FBgn0083121",FALSE,FALSE,"3L",1666288,1667307,"-",1020
"snoRNA:Me28S-A2634c","CR34634","FBgn0082944",FALSE,FALSE,"3L",1666437,1666522,"-",86
"snoRNA:Me28S-A2634b","CR34635","FBgn0082945",FALSE,FALSE,"3L",1666665,1666745,"-",81
"snoRNA:Me28S-A2634a","CR34636","FBgn0082946",FALSE,FALSE,"3L",1666892,1666964,"-",73
"snoRNA:Or-CD15","CR46371","FBgn0286729",FALSE,FALSE,"3L",1667151,1667247,"-",97
"RabX5","CG7980","FBgn0035255",FALSE,FALSE,"3L",1668901,1670108,"-",1208
"CG13930","CG13930","FBgn0035256",FALSE,FALSE,"3L",1670407,1672727,"-",2321
"CG7991","CG7991","FBgn0035260",TRUE,FALSE,"3L",1674709,1715541,"+",40833
"CG12011","CG12011","FBgn0035257",FALSE,FALSE,"3L",1694617,1696412,"+",1796
"CG13931","CG13931","FBgn0035258",FALSE,FALSE,"3L",1700956,1702407,"-",1452
"drpr","CG2086","FBgn0027594",TRUE,FALSE,"3L",1715595,1731107,"-",15513
"CG18171","CG18171","FBgn0035262",TRUE,FALSE,"3L",1720616,1723153,"-",2538
"CG12035","CG12035","FBgn0035263",TRUE,FALSE,"3L",1724390,1725647,"+",1258
"Oseg4","CG2069","FBgn0035264",TRUE,FALSE,"3L",1730993,1735767,"-",4775
"PIG-Wb","CG18173","FBgn0035265",TRUE,FALSE,"3L",1735853,1738106,"-",2254
"Gk2","CG7995","FBgn0035266",TRUE,FALSE,"3L",1738407,1745421,"+",7015
"CG13921","CG13921","FBgn0035267",TRUE,FALSE,"3L",1746907,1752390,"+",5484
"Cht2","CG2054","FBgn0022702",TRUE,FALSE,"3L",1752328,1755934,"-",3607
"CG8001","CG8001","FBgn0035268",TRUE,FALSE,"3L",1756159,1759208,"+",3050
"Dhc62B","CG15804","FBgn0013811",TRUE,FALSE,"3L",1759172,1771758,"-",12587
"CG13933","CG13933","FBgn0035270",TRUE,FALSE,"3L",1771809,1775147,"-",3339
"asRNA:CR44351","CR44351","FBgn0265451",TRUE,FALSE,"3L",1773605,1775108,"+",1504
"PolD2","CG12018","FBgn0027903",TRUE,FALSE,"3L",1775633,1777019,"+",1387
"CG2021","CG2021","FBgn0035271",TRUE,FALSE,"3L",1777010,1777411,"-",402
"mRpL46","CG13922","FBgn0035272",TRUE,FALSE,"3L",1777439,1778347,"+",909
"alpha-Spec","CG1977","FBgn0250789",TRUE,FALSE,"3L",1778485,1795328,"-",16844
"asRNA:CR45834","CR45834","FBgn0267484",TRUE,FALSE,"3L",1784395,1784800,"+",406
"dlt","CG32315","FBgn0024510",TRUE,FALSE,"3L",1789631,1795328,"-",5698
"Cdc37","CG12019","FBgn0011573",TRUE,FALSE,"3L",1795392,1797307,"+",1916
"asRNA:CR45818","CR45818","FBgn0267468",TRUE,FALSE,"3L",1796854,1797272,"-",419
"CG12020","CG12020","FBgn0035273",TRUE,FALSE,"3L",1797305,1798610,"+",1306
"Patj","CG12021","FBgn0067864",TRUE,FALSE,"3L",1798803,1802184,"+",3382
"JTBR","CG1935","FBgn0025820",TRUE,FALSE,"3L",1802008,1802856,"-",849
"CG42676","CG42676","FBgn0261562",TRUE,FALSE,"3L",1803107,1806920,"+",3814
"asRNA:CR45686","CR45686","FBgn0267246",TRUE,FALSE,"3L",1806043,1806932,"-",890
"lncRNA:CR45687","CR45687","FBgn0267247",FALSE,FALSE,"3L",1807546,1807855,"+",310
"GV1","CG12023","FBgn0027790",TRUE,FALSE,"3L",1810588,1822903,"+",12316
"Cpr62Ba","CG13934","FBgn0035279",FALSE,FALSE,"3L",1824129,1831783,"-",7655
"Cpr62Bb","CG13935","FBgn0035280",FALSE,FALSE,"3L",1832636,1835164,"-",2529
"Cpr62Bc","CG1919","FBgn0035281",FALSE,FALSE,"3L",1840281,1842084,"-",1804
"CNMa","CG13936","FBgn0035282",FALSE,FALSE,"3L",1850915,1855591,"-",4677
"CG12024","CG12024","FBgn0035283",TRUE,FALSE,"3L",1857165,1859047,"+",1883
"Rap1","CG1956","FBgn0004636",TRUE,FALSE,"3L",1859115,1862239,"-",3125
"HBS1","CG1898","FBgn0042712",TRUE,FALSE,"3L",1862881,1865240,"-",2360
"CG12025","CG12025","FBgn0035285",TRUE,FALSE,"3L",1865430,1869491,"+",4062
"CG13924","CG13924","FBgn0035286",TRUE,FALSE,"3L",1870019,1871564,"+",1546
"dre4","CG1828","FBgn0002183",TRUE,FALSE,"3L",1871574,1876312,"-",4739
"CG13937","CG13937","FBgn0035287",TRUE,FALSE,"3L",1876551,1883041,"-",6491
"Aprt","CG18315","FBgn0000109",TRUE,FALSE,"3L",1883795,1885019,"-",1225
"Tmhs","CG12026","FBgn0262624",TRUE,FALSE,"3L",1885657,1891462,"+",5806
"dsb","CG1887","FBgn0035290",FALSE,FALSE,"3L",1893408,1910197,"-",16790
"Dbx","CG42234","FBgn0261723",FALSE,FALSE,"3L",1921307,1933602,"+",12296
"tRNA:Cys-GCA-2-1","CR32312","FBgn0052312",FALSE,FALSE,"3L",1925641,1925712,"+",72
"lncRNA:CR45826","CR45826","FBgn0267476",FALSE,FALSE,"3L",1927623,1928152,"-",530
"CG5687","CG5687","FBgn0035293",TRUE,FALSE,"3L",1933633,1939103,"-",5471
"lncRNA:CR44536","CR44536","FBgn0265729",FALSE,FALSE,"3L",1939242,1940458,"-",1217
"Mfap1","CG1017","FBgn0035294",TRUE,FALSE,"3L",1941068,1942872,"+",1805
"mu2","CG1960","FBgn0002872",TRUE,FALSE,"3L",1942734,1947475,"-",4742
"Cnb","CG5690","FBgn0035295",TRUE,FALSE,"3L",1947565,1950262,"+",2698
"mv","CG42863","FBgn0288310",TRUE,FALSE,"3L",1950306,1964178,"-",13873
"SCOT","CG1140","FBgn0035298",TRUE,FALSE,"3L",1963143,1966805,"+",3663
"asRNA:CR45827","CR45827","FBgn0267477",TRUE,FALSE,"3L",1963143,1964285,"+",1143
"asRNA:CR45828","CR45828","FBgn0267478",FALSE,FALSE,"3L",1963213,1963700,"-",488
"CG1927","CG1927","FBgn0027547",TRUE,FALSE,"3L",1966725,1970079,"-",3355
"CG11815","CG11815","FBgn0035299",TRUE,FALSE,"3L",1970191,1971200,"-",1010
"CG1139","CG1139","FBgn0035300",FALSE,FALSE,"3L",1971638,1974285,"+",2648
"CG42841","CG42841","FBgn0262030",TRUE,FALSE,"3L",2003109,2005651,"-",2543
"lncRNA:CR44535","CR44535","FBgn0265728",TRUE,FALSE,"3L",2008722,2010751,"-",2030
"CG42357","CG42357","FBgn0259703",FALSE,FALSE,"3L",2020554,2021958,"-",1405
"CG42356","CG42356","FBgn0259702",FALSE,FALSE,"3L",2022070,2023391,"-",1322
"CG34259","CG34259","FBgn0085288",TRUE,FALSE,"3L",2026991,2028326,"+",1336
"CG42355","CG42355","FBgn0259701",TRUE,FALSE,"3L",2037371,2038224,"-",854
"sls","CG1915","FBgn0086906",TRUE,FALSE,"3L",2039681,2115611,"-",75931
"asRNA:CR42860","CR42860","FBgn0262107",TRUE,FALSE,"3L",2088166,2089626,"+",1461
"zormin","CG33484","FBgn0052311",TRUE,FALSE,"3L",2117466,2151700,"-",34235
"asRNA:CR45802","CR45802","FBgn0267452",FALSE,FALSE,"3L",2118498,2119567,"+",1070
"CG15822","CG15822","FBgn0035308",TRUE,FALSE,"3L",2153201,2163863,"-",10663
"CG15879","CG15879","FBgn0035309",TRUE,FALSE,"3L",2167550,2169108,"-",1559
"CG5704","CG5704","FBgn0026570",TRUE,FALSE,"3L",2169553,2170971,"-",1419
"CG15820","CG15820","FBgn0035312",TRUE,FALSE,"3L",2172995,2174332,"-",1338
"CG13810","CG13810","FBgn0035313",TRUE,FALSE,"3L",2185930,2187676,"+",1747
"CG5707","CG5707","FBgn0026593",TRUE,FALSE,"3L",2189160,2192221,"-",3062
"CG8960","CG8960","FBgn0035315",TRUE,FALSE,"3L",2197013,2198089,"+",1077
"CG15878","CG15878","FBgn0035316",TRUE,FALSE,"3L",2210873,2212503,"-",1631
"Oseg2","CG13809","FBgn0035317",TRUE,FALSE,"3L",2229646,2235253,"+",5608
"CG9018","CG9018","FBgn0035318",TRUE,FALSE,"3L",2235284,2237076,"-",1793
"ACXD","CG5712","FBgn0040507",TRUE,FALSE,"3L",2237608,2243719,"+",6112
"CG32301","CG32301","FBgn0052301",TRUE,FALSE,"3L",2244478,2248614,"+",4137
"CG32305","CG32305","FBgn0052305",TRUE,FALSE,"3L",2248635,2252729,"+",4095
"CG1275","CG1275","FBgn0035321",TRUE,FALSE,"3L",2252744,2257423,"-",4680
"CG2034","CG2034","FBgn0015359",TRUE,FALSE,"3L",2257456,2258922,"+",1467
"oxt","CG32300","FBgn0015360",TRUE,FALSE,"3L",2258839,2262664,"-",3826
"CG13807","CG13807","FBgn0035323",TRUE,FALSE,"3L",2262919,2263615,"+",697
"ecd","CG5714","FBgn0000543",TRUE,FALSE,"3L",2263581,2265857,"-",2277
"CG13806","CG13806","FBgn0035325",FALSE,FALSE,"3L",2266394,2267640,"+",1247
"asRNA:CR45829","CR45829","FBgn0267479",FALSE,FALSE,"3L",2267722,2268560,"-",839
"obst-I","CG32304","FBgn0052304",FALSE,FALSE,"3L",2267858,2268590,"+",733
"CG32302","CG32302","FBgn0052302",FALSE,FALSE,"3L",2268825,2269903,"+",1079
"yellow-g","CG5717","FBgn0041709",FALSE,FALSE,"3L",2269881,2272769,"-",2889
"tRNA:Cys-GCA-3-1","CR32303","FBgn0052303",FALSE,FALSE,"3L",2273744,2273815,"+",72
"yellow-g2","CG13804","FBgn0035328",FALSE,FALSE,"3L",2276550,2278038,"+",1489
"MsR2","CG43745","FBgn0264002",FALSE,FALSE,"3L",2282883,2300944,"+",18062
"lncRNA:CR45427","CR45427","FBgn0266976",FALSE,FALSE,"3L",2317131,2317600,"-",470
"lncRNA:CR45426","CR45426","FBgn0266975",FALSE,FALSE,"3L",2319386,2319919,"-",534
"MsR1","CG8985","FBgn0035331",TRUE,FALSE,"3L",2322693,2345799,"+",23107
"CG13801","CG13801","FBgn0035332",FALSE,FALSE,"3L",2360557,2362686,"+",2130
"CG1317","CG1317","FBgn0035333",TRUE,FALSE,"3L",2367843,2371939,"-",4097
"CG8993","CG8993","FBgn0035334",TRUE,FALSE,"3L",2372199,2372876,"+",678
"mRpL23","CG1320","FBgn0035335",TRUE,FALSE,"3L",2372844,2373704,"-",861
"CG9004","CG9004","FBgn0035336",TRUE,FALSE,"3L",2373728,2376488,"+",2761
"CG15877","CG15877","FBgn0035337",TRUE,FALSE,"3L",2376484,2377556,"-",1073
"Svil","CG45186","FBgn0266696",TRUE,FALSE,"3L",2377655,2499226,"+",121572
"Mzt1","CG42787","FBgn0261858",TRUE,FALSE,"3L",2389265,2389650,"+",386
"CG32299","CG32299","FBgn0052299",TRUE,FALSE,"3L",2389583,2390989,"-",1407
"CG32298","CG32298","FBgn0052298",FALSE,FALSE,"3L",2389583,2390989,"-",1407
"CG16762","CG16762","FBgn0035343",FALSE,FALSE,"3L",2474667,2475614,"-",948
"Cyp4d20","CG16761","FBgn0035344",FALSE,FALSE,"3L",2476259,2478448,"-",2190
"CG1146","CG1146","FBgn0035346",TRUE,FALSE,"3L",2488804,2492613,"+",3810
"CG16758","CG16758","FBgn0035348",TRUE,FALSE,"3L",2499372,2503606,"-",4235
"lncRNA:CR45425","CR45425","FBgn0266974",FALSE,FALSE,"3L",2503789,2504397,"+",609
"Spn","CG16757","FBgn0010905",TRUE,FALSE,"3L",2505245,2554292,"-",49048
"lncRNA:CR45170","CR45170","FBgn0266680",TRUE,FALSE,"3L",2517161,2518402,"+",1242
"CG32295","CG32295","FBgn0260480",TRUE,FALSE,"3L",2525799,2526973,"-",1175
"msn","CG16973","FBgn0010909",TRUE,FALSE,"3L",2554847,2586540,"-",31694
"RpL8","CG1263","FBgn0261602",TRUE,FALSE,"3L",2587456,2588883,"+",1428
"dos","CG1044","FBgn0016794",TRUE,FALSE,"3L",2589414,2595590,"+",6177
"CG16984","CG16984","FBgn0062517",TRUE,FALSE,"3L",2595781,2596998,"+",1218
"CG12182","CG12182","FBgn0028504",TRUE,FALSE,"3L",2595842,2599579,"-",3738
"CG16985","CG16985","FBgn0035355",TRUE,FALSE,"3L",2599297,2600242,"+",946
"CG16986","CG16986","FBgn0035356",TRUE,FALSE,"3L",2600331,2601536,"+",1206
"Pxn","CG12002","FBgn0011828",TRUE,FALSE,"3L",2601455,2630064,"-",28610
"lncRNA:CR45981","CR45981","FBgn0267643",FALSE,FALSE,"3L",2621721,2622629,"-",909
"lncRNA:CR45982","CR45982","FBgn0267644",TRUE,FALSE,"3L",2628041,2629018,"+",978
"lncRNA:CR45660","CR45660","FBgn0267220",TRUE,FALSE,"3L",2629834,2630693,"-",860
"MEP-1","CG1244","FBgn0035357",TRUE,FALSE,"3L",2631715,2641984,"+",10270
"CG42245","CG42245","FBgn0250911",FALSE,FALSE,"3L",2631715,2641984,"+",10270
"CG14949","CG14949","FBgn0035358",FALSE,FALSE,"3L",2642184,2643424,"-",1241
"CG1143","CG1143","FBgn0035359",TRUE,FALSE,"3L",2645368,2647192,"+",1825
"CG1246","CG1246","FBgn0035360",FALSE,FALSE,"3L",2648048,2650205,"+",2158
"ProRS-m","CG12186","FBgn0027082",TRUE,FALSE,"3L",2650161,2651850,"-",1690
"Snup","CG42303","FBgn0259199",FALSE,FALSE,"3L",2652088,2655455,"+",3368
"CG42304","CG42304","FBgn0259200",FALSE,FALSE,"3L",2652088,2655455,"+",3368
"Fife","CG43955","FBgn0264606",TRUE,FALSE,"3L",2655415,2711690,"-",56276
"CG33233","CG33233","FBgn0053233",TRUE,FALSE,"3L",2659639,2661501,"+",1863
"CG33234","CG33234","FBgn0053234",TRUE,FALSE,"3L",2661622,2663622,"+",2001
"Mrtf","CG32296","FBgn0052296",TRUE,FALSE,"3L",2717615,2766536,"-",48922
"Acp62F","CG1262","FBgn0020509",TRUE,FALSE,"3L",2739750,2740228,"+",479
"Non2","CG1240","FBgn0035370",TRUE,FALSE,"3L",2766999,2768392,"+",1394
"AhcyL1","CG9977","FBgn0035371",TRUE,FALSE,"3L",2768466,2772325,"-",3860
"CG12093","CG12093","FBgn0035372",TRUE,FALSE,"3L",2772560,2774007,"-",1448
"Atg2","CG1241","FBgn0044452",TRUE,FALSE,"3L",2774338,2780677,"+",6340
"mRpS35","CG2101","FBgn0035374",TRUE,FALSE,"3L",2780899,2782105,"+",1207
"Pgant6","CG2103","FBgn0035375",TRUE,FALSE,"3L",2782255,2786010,"+",3756
"Tet","CG43444","FBgn0263392",TRUE,FALSE,"3L",2786207,2879158,"-",92952
"lncRNA:CR44531","CR44531","FBgn0265724",FALSE,FALSE,"3L",2882814,2883400,"+",587
"spz5","CG9972","FBgn0035379",FALSE,FALSE,"3L",2883641,2892166,"-",8526
"Shab","CG43128","FBgn0262593",TRUE,FALSE,"3L",2895017,2959579,"+",64563
"CG9970","CG9970","FBgn0035380",TRUE,FALSE,"3L",2915024,2916654,"-",1631
"CG32846","CG32846","FBgn0052846",TRUE,FALSE,"3L",2950174,2951618,"-",1445
"CG34025","CG34025","FBgn0054025",FALSE,FALSE,"3L",2959722,2961049,"-",1328
"Or63a","CG9969","FBgn0035382",FALSE,FALSE,"3L",2961534,2963788,"+",2255
"lncRNA:CR44530","CR44530","FBgn0265723",FALSE,FALSE,"3L",2975518,2976203,"-",686
"CPT2","CG2107","FBgn0035383",TRUE,FALSE,"3L",2981022,2983551,"+",2530
"CG2113","CG2113","FBgn0035384",TRUE,FALSE,"3L",2995172,2996155,"+",984
"FMRFaR","CG2114","FBgn0035385",FALSE,FALSE,"3L",3001716,3011860,"+",10145
"CG32488","CG32488","FBgn0052488",TRUE,FALSE,"3L",3014761,3016069,"-",1309
"CG32487","CG32487","FBgn0052487",TRUE,FALSE,"3L",3016150,3017256,"-",1107
"aly","CG2075","FBgn0004372",TRUE,FALSE,"3L",3024129,3026521,"-",2393
"CG2162","CG2162","FBgn0035388",TRUE,FALSE,"3L",3035196,3040469,"+",5274
"Prx4","CG1274","FBgn0040308",TRUE,FALSE,"3L",3042359,3044174,"+",1816
"scramb2","CG1893","FBgn0035390",TRUE,FALSE,"3L",3044113,3046812,"-",2700
